token,sentiment_score,frequency,log_frequency
looming,-1,1.95e-06,-13.147629904652216
some kind,0,0.000239,-8.339046587622809
kind of,0,0.000279,-8.184298417720033
solving,1,9.77e-06,-11.53618385654743
engages,1,2.45e-06,-12.91938171791407
reached,1,7.08e-05,-9.55565014483622
smart,1,6.76e-05,-9.60190109562651
promise,1,5.13e-05,-9.877817856471712
refines,1,1.78e-07,-15.540920646650795
adequate,1,1.12e-05,-11.399587851131656
innovates,1,6.46e-08,-16.553504635439555
leadership,1,5.89e-05,-9.739667769515306
matters,1,5.25e-05,-9.854695483606605
promoted,1,1.41e-05,-11.169328668406719
enterprising,1,8.91e-07,-13.930809182327737
restoring,1,5.25e-06,-12.157263433923097
yearning,1,1.74e-06,-13.261567975124878
laughing,1,4.07e-05,-10.109280008516286
invite,1,2e-05,-10.819773284422784
visions,1,5.75e-06,-12.066293312001894
grace,1,3.63e-05,-10.223690061876328
accessible,1,1.51e-05,-11.100809191648768
interest,1,0.000148,-8.818297608524711
increased,1,8.13e-05,-9.417363311398965
purest,1,1.62e-06,-13.33302268223004
innovate,1,1.35e-06,-13.51533189418321
keen,1,1.35e-05,-11.212813465139918
jesus,1,9.77e-05,-9.233607975374607
solutions,1,3.16e-05,-10.362350272819453
reassure,1,2e-06,-13.122313378654287
settlement,1,3.09e-05,-10.384751137819856
memorable,1,9.33e-06,-11.582264825048847
prays,1,1.26e-06,-13.584319475070764
substantially,1,9.12e-06,-11.605029789025867
promises,1,1.78e-05,-10.936306482704488
trusts,1,6.31e-06,-11.97335903367619
solve,1,2.63e-05,-10.545937816506415
grant,1,4.68e-05,-9.969625218290819
inviting,1,7.24e-06,-11.83587553950734
stimulated,1,2.34e-06,-12.965316894465046
advanced,1,5.13e-05,-9.877817856471712
capability,1,1.17e-05,-11.355913169188542
extend,1,2.19e-05,-10.7290193549422
passion,1,2.75e-05,-10.501320916934723
yeah,1,0.000234,-8.360189015256237
rise,1,6.46e-05,-9.6472945991893
validate,1,2.51e-06,-12.89518796497675
rose,1,6.61e-05,-9.624340298248473
responsibility,1,5.62e-05,-9.786592021706781
huge,1,0.000115,-9.070577560036185
reaching,1,2.88e-05,-10.45513169860618
goodmorning,1,1e-07,-16.117096150625237
fame,1,2.19e-05,-10.7290193549422
active,1,8.51e-05,-9.371682347297504
forgive,1,1.78e-05,-10.936306482704488
wishes,1,2.24e-05,-10.706445134827531
attracts,1,4.27e-06,-12.363873311794219
fit,1,8.91e-05,-9.325750101153684
want,1,0.0011,-6.812445008268726
expands,1,3.8e-06,-12.480483175788715
laugh,1,4.57e-05,-9.993410071882701
balanced,1,1.51e-05,-11.100809191648768
supporter,1,1.17e-05,-11.355913169188542
reach,1,8.71e-05,-9.34845252600085
spark,1,9.77e-06,-11.53618385654743
capable,1,4.07e-05,-10.109280008516286
promptly,1,6.92e-06,-11.881080337572056
laughs,1,1.2e-05,-11.330595574877663
promised,1,3.09e-05,-10.384751137819856
stimulate,1,4.68e-06,-12.272191080741633
adopts,1,1.82e-06,-13.216619113330049
ensure,1,5.01e-05,-9.901487553867463
explorations,1,1.26e-06,-13.584319475070764
lighthearted,1,7.24e-07,-14.138336332551637
attract,1,1.58e-05,-11.055494288837458
capabilities,1,1.29e-05,-11.258275494688709
validated,1,2.4e-06,-12.94000015481174
supporters,1,2.88e-05,-10.45513169860618
pray,1,2.51e-05,-10.592638727770726
relieves,1,7.76e-07,-14.068984459086318
stimulates,1,1.38e-06,-13.493354597652417
increase,1,0.00012,-9.028017981849242
exploration,1,1.55e-05,-11.074664082446981
desire,1,4.07e-05,-10.109280008516286
committing,1,7.59e-06,-11.788665791412962
legal,1,0.00012,-9.028017981849242
unmatched,1,1.35e-06,-13.51533189418321
engrossed,1,6.17e-07,-14.29823475161939
immune,1,1.38e-05,-11.190834719450558
accepts,1,7.59e-06,-11.788665791412962
shared,1,4.79e-05,-9.946392965866911
granting,1,4.79e-06,-12.248959269932646
sobering,1,7.94e-07,-14.046056439045246
unified,1,7.41e-06,-11.812666623470685
sincerest,2,4.37e-07,-14.643103835077142
charitable,2,8.13e-06,-11.7199373343572
attractively,2,3.09e-07,-14.989600987808341
greetings,2,4.68e-06,-12.272191080741633
benefits,2,6.92e-05,-9.57850825025499
meaningful,2,1.38e-05,-11.190834719450558
honour,2,2.34e-05,-10.662770262105477
exonerated,2,8.32e-07,-13.999313211040027
carefully,2,2.88e-05,-10.45513169860618
wealthier,2,1.07e-06,-13.747758455913456
strong,2,0.000166,-8.703522167198274
smiling,2,1.41e-05,-11.169328668406719
environment-friendly,2,2.75e-05,-10.501320916934723
resolute,2,1.32e-06,-13.537803066659697
infatuated,2,7.94e-07,-14.046056439045246
revives,2,6.31e-07,-14.275801508356217
enjoying,2,2.63e-05,-10.545937816506415
reward,2,2.14e-05,-10.75211496305019
reliability,2,8.32e-06,-11.696836283972617
intimacy,2,4.37e-06,-12.3407246658234
sincerity,2,2.19e-06,-13.03156335307789
bargain,2,8.91e-06,-11.628325093199981
hugs,2,5.01e-06,-12.20405468298686
secure,2,4.37e-05,-10.038160167535828
proudly,2,5.13e-06,-12.180385405794198
comforting,2,4.07e-06,-12.411842988787038
humor,2,1.55e-05,-11.074664082446981
smarter,2,8.13e-06,-11.7199373343572
modernized,2,9.33e-07,-13.884753460706435
advantage,2,6.03e-05,-9.716176795857717
nurturing,2,1.66e-06,-13.30863271644638
fearless,2,3.55e-06,-12.548534785859605
resolution,2,3.89e-05,-10.15451373664909
agog,2,1.29e-07,-15.862678539093814
tranquil,2,1.38e-06,-13.493354597652417
aficionados,2,4.57e-07,-14.598363651608713
robust,2,8.71e-06,-11.651027286109512
empowerment,2,3.47e-06,-12.571327145976946
jokes,2,2.14e-05,-10.75211496305019
hoping,2,4.68e-05,-9.969625218290819
advantageous,2,2.14e-06,-13.054658001050315
intricate,2,3.55e-06,-12.548534785859605
gains,2,1.78e-05,-10.936306482704488
respected,2,1.29e-05,-11.258275494688709
approval,2,3.16e-05,-10.362350272819453
kind,2,0.000282,-8.173603132416295
acquit,2,3.8e-07,-14.782831460951208
helpful,2,2.69e-05,-10.523380553891272
gold,2,0.000148,-8.818297608524711
strengthen,2,1.1e-05,-11.417606194298134
discernment,2,6.17e-07,-14.29823475161939
thank,2,0.000302,-8.105083209463631
proactive,2,2.57e-06,-12.871565749308303
daring,2,5.01e-06,-12.20405468298686
clarity,2,7.94e-06,-11.7435846883261
privileged,2,6.46e-06,-11.949865760413415
devotion,2,5.37e-06,-12.134664027642959
appease,2,1.58e-06,-13.358022421788958
focused,2,4.47e-05,-10.015534819210789
like,2,0.00257,-5.9638493411645035
attraction,2,1.29e-05,-11.258275494688709
swift,2,1.41e-05,-11.169328668406719
notable,2,1.17e-05,-11.355913169188542
spirited,2,3.55e-06,-12.548534785859605
exonerate,2,4.07e-07,-14.714206981437478
suave,2,7.94e-07,-14.046056439045246
reliant,2,2.57e-06,-12.871565749308303
better,2,0.000575,-7.461140343253895
seamless,2,2.04e-06,-13.102511731701728
salvation,2,8.91e-06,-11.628325093199981
elegant,2,8.91e-06,-11.628325093199981
secures,2,1.32e-06,-13.537803066659697
enchanted,2,2.75e-06,-12.80387328331057
careful,2,3.89e-05,-10.15451373664909
playful,2,3.39e-06,-12.594651138481915
adventurous,2,3.02e-06,-12.710220614542925
encouraging,2,1.38e-05,-11.190834719450558
fervid,2,5.89e-08,-16.64572839304069
favourites,2,4.37e-06,-12.3407246658234
wealthy,2,1.62e-05,-11.030493142905481
relishing,2,3.16e-07,-14.96720721772484
responsible,2,7.59e-05,-9.486092556040502
appropriately,2,5.5e-06,-12.110744284072954
vividly,2,1.82e-06,-13.216619113330049
competitive,2,3.72e-05,-10.199199108516742
harmony,2,1.29e-05,-11.258275494688709
humourous,2,1.07e-07,-16.04950285949271
enjoys,2,8.51e-06,-11.674256864566717
supportive,2,1.12e-05,-11.399587851131656
well-being,2,0.000487,-7.627246229542896
blesses,2,4.07e-07,-14.714206981437478
scoop,3,4.9e-06,-12.226254944892672
happiness,3,2.75e-05,-10.501320916934723
hallelujah,3,2e-06,-13.122313378654287
greater,3,7.94e-05,-9.441010930266133
praised,3,1.05e-05,-11.464125777036624
beauties,3,2.45e-06,-12.91938171791407
genial,3,5.25e-07,-14.459677116302597
lucrative,3,3.63e-06,-12.526250361857594
ftw,3,6.61e-07,-14.229360722606879
gallantly,3,2.24e-07,-15.31117345613953
charmingly,3,3.72e-07,-14.804103201593835
handsome,3,1.66e-05,-11.006101838523536
finest,3,1.41e-05,-11.169328668406719
succeeds,3,2.95e-06,-12.733671489881996
exhilarated,3,2.4e-07,-15.242210333719203
great,3,0.000759,-7.183508648816347
victory,3,5.37e-05,-9.832095694253796
pleasant,3,1.66e-05,-11.006101838523536
celebrates,3,5.75e-06,-12.066293312001894
hahaha,3,6.46e-06,-11.949865760413415
lool,3,1.26e-07,-15.886190593975538
gem,3,7.41e-06,-11.812666623470685
love,3,0.000661,-7.321756566826669
excitement,3,1.55e-05,-11.074664082446981
cheery,3,1.02e-06,-13.795609896257938
sexy,3,2.63e-05,-10.545937816506415
super,3,0.00012,-9.028017981849242
loool,3,1.17e-07,-15.96023756634274
hahahah,3,4.17e-07,-14.689939835743512
blessings,3,5.62e-06,-12.089161100622672
affectionateness,3,0.0,-23.025850929940457
greatest,3,6.17e-05,-9.693225006308703
enrapture,3,1.58e-08,-17.956946727720226
lol,3,0.000112,-9.097010793812435
vitality,3,2.57e-06,-12.871565749308303
excited,3,5.5e-05,-9.808175554551639
perfectly,3,4.07e-05,-10.109280008516286
marvel,3,1.45e-05,-11.141355012009802
exultantly,3,1.91e-08,-17.768355557912674
merry,3,6.76e-06,-11.904472875119406
woo,3,7.41e-06,-11.812666623470685
delectable,3,5.01e-07,-14.506460154980733
faithful,3,1.26e-05,-11.281805807530398
gleeful,3,2.69e-07,-15.128182779213551
euphoria,3,1.74e-06,-13.261567975124878
successful,3,8.71e-05,-9.34845252600085
gallantry,3,7.41e-07,-14.115130267989098
enthral,3,3.98e-08,-17.036889513050593
astound,3,2.04e-07,-15.404655767130611
admired,3,5.25e-06,-12.157263433923097
award,3,7.59e-05,-9.486092556040502
excellence,3,1.17e-05,-11.355913169188542
benevolent,3,2.19e-06,-13.03156335307789
amusement,3,5.5e-06,-12.110744284072954
prosperous,3,3.98e-06,-12.43420361335543
astounding,3,2.82e-06,-12.77873821265007
mirth,3,4.17e-07,-14.689939835743512
loves,3,4.57e-05,-9.993410071882701
devoted,3,1.51e-05,-11.100809191648768
soothed,3,2.82e-07,-15.08100421893846
grand,3,8.13e-05,-9.417363311398965
medal,3,2.45e-05,-10.61683335878927
praise,3,2.04e-05,-10.799970755165333
perfect,3,0.000158,-8.752914892026116
goodwill,3,4.68e-06,-12.272191080741633
exciting,3,3.47e-05,-10.268767989171232
joy,3,3.55e-05,-10.245975044585462
rigorously,3,1e-06,-13.81541056296394
haha,3,3.39e-05,-10.292092593729713
amused,3,3.39e-06,-12.594651138481915
affectionate,3,2.24e-06,-13.008990050236646
kudos,3,2.82e-06,-12.77873821265007
gr8,3,1.48e-07,-15.725378115672658
worshiped,3,7.94e-07,-14.046056439045246
adores,3,8.32e-07,-13.999313211040027
lucky,3,5.89e-05,-9.739667769515306
sweeter,3,2.09e-06,-13.078298646242228
delight,3,9.33e-06,-11.582264825048847
bliss,3,6.03e-06,-12.018746963614761
praising,3,3.98e-06,-12.43420361335543
riveting,3,9.77e-07,-13.838676835996115
mirthfully,3,0.0,-23.025850929940457
victories,3,6.76e-06,-11.904472875119406
audacious,3,8.91e-07,-13.930809182327737
popular,3,0.000117,-9.05333576846603
glee,3,3.09e-06,-12.687307105118727
gallant,3,1.62e-06,-13.33302268223004
magnificent,3,1.1e-05,-11.417606194298134
blockbuster,3,3.02e-06,-12.710220614542925
awarded,3,2.24e-05,-10.706445134827531
blissful,3,1e-06,-13.81541056296394
supreme,4,4.9e-05,-9.923688219039404
stunning,4,1.86e-05,-10.892343600915485
rotflol,4,0.0,-23.025850929940457
rotflmfao,4,0.0,-23.025850929940457
rotfl,4,2.09e-08,-17.678743399222988
roflmao,4,4.79e-08,-16.85206482603852
rejoicing,4,9.33e-07,-13.884753460706435
rofl,4,6.92e-07,-14.183535383098594
rejoices,4,3.16e-07,-14.96720721772484
rejoiced,4,4.47e-07,-14.620483553706476
rejoice,4,2.88e-06,-12.757685542197
terrific,4,7.94e-06,-11.7435846883261
rapturous,4,2.57e-07,-15.173800722674567
roflcopter,4,0.0,-23.025850929940457
terrifically,4,1.66e-07,-15.610675820327161
woow,4,3.47e-08,-17.17364845016598
triumphant,4,2.34e-06,-12.965316894465046
win,4,0.000245,-8.314251939256366
winner,4,6.31e-05,-9.67078820363231
winning,4,9.55e-05,-9.25638326335772
wins,4,5.01e-05,-9.901487553867463
wonderful,4,7.08e-05,-9.55565014483622
wonderfully,4,3.55e-06,-12.548534785859605
wooo,4,3.47e-07,-14.87365291407867
wow,4,9.12e-05,-9.302454564393361
wowow,4,6.76e-08,-16.508179657028183
wowww,4,3.02e-08,-17.312118124431088
xoxoxo,4,4.07e-08,-17.014583755536297
xoxoxoxo,4,0.0,-23.025850929940457
overjoyed,4,9.33e-07,-13.884753460706435
triumph,4,9.12e-06,-11.605029789025867
miracle,4,1.35e-05,-11.212813465139918
fucking beautiful,4,9.34e-05,-9.27861814206624
masterpiece,4,6.46e-06,-11.949865760413415
amazing,4,0.000126,-8.979227857362318
awesome,4,8.32e-05,-9.394262008214756
best damn,4,0.000104,-9.171118697284902
brilliant,4,3.55e-05,-10.245975044585462
damn good,4,0.000113,-9.088121854296572
ecstatic,4,2.34e-06,-12.965316894465046
euphoric,4,7.08e-07,-14.160680510288683
exuberant,4,9.33e-07,-13.884753460706435
fabulous,4,1.2e-05,-11.330595574877663
fabulously,4,4.9e-07,-14.52865638503091
fantastic,4,5.13e-05,-9.877817856471712
fucking amazing,4,7.92e-05,-9.443532996518428
masterpieces,4,1.74e-06,-13.261567975124878
fucking fantastic,4,4.14e-05,-10.092227261676985
fucking good,4,0.000184,-8.600574256877175
fucking cute,4,3.69e-05,-10.207296296894365
fucking love,4,0.000162,-8.72791360544813
lolololol,4,1e-07,-16.117096150625237
lololol,4,2.45e-07,-15.221599546412344
lolol,4,3.8e-07,-14.782831460951208
lmfao,4,2.24e-06,-13.008990050236646
fucking great,4,0.000167,-8.697516146745302
lifesaver,4,7.59e-07,-14.091132315923689
lmao,4,1.91e-05,-10.865816987323301
godsend,4,6.03e-07,-14.32118281648947
funny,4,0.000105,-9.161549255426252
funnier,4,2.57e-06,-12.871565749308303
fun,4,0.0002,-8.517192691416362
fucking perfect,4,9.1e-05,-9.30464995254693
fucking loves,4,3.77e-05,-10.185847810993932
heavenly,4,5.75e-06,-12.066293312001894
superb,5,9.12e-06,-11.605029789025867
breathtaking,5,3.98e-06,-12.43420361335543
hurrah,5,8.71e-07,-13.953509056121565
outstanding,5,3.16e-05,-10.362350272819453
thrilled,5,8.71e-06,-11.651027286109512
